,Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Month,Year,URL,Number of additional authors,Non-English,Interdisciplinary,Forensic science,Criminology,Propose double weighting,Is reserve output,Research group,Open access status,Citations applicable,Citation count,Cross-referral requested,Supplementary information,Delayed by COVID19,REF2ID,Incl sig material before 2014,Incl reseach process,Incl factual info about significance
39152,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,Consequence-Based Reasoning for Description Logics with Disjunctions and Number Restrictions,,,The Journal of Artificial Intelligence Research,63,2018,625,,,1076-9757,10.1613/jair.1.11257,,November,2018.0,,5.0,,,,,,,,Compliant,Yes,2.0,,,,2de973c9-60f9-41c8-89ce-2d3fbb269f2a,0,0,1
39190,10001478,"City, University of London",B,11,Computer Science and Informatics,,,,D,Conservative claims for the probability of perfection of a software-based system using operational experience of previous similar systems,,,Reliability Engineering and System Safety,175,,265,,,0951-8320,10.1016/j.ress.2018.03.032,,March,2018.0,,4.0,,,,,,,,Compliant,Yes,4.0,,,,2a368b70-8481-4af1-8970-478b2079d24b,0,0,1
39194,10007163,The University of Warwick,B,11,Computer Science and Informatics,,,,E,Conservative or liberal? : personalized differential privacy,"Seoul, South Korea",IEEE,31st IEEE International Conference on Data Engineering (2015),,,1023,,9781479979646,1063-6382,10.1109/ICDE.2015.7113353,,June,2015.0,,2.0,,,,,,,"D - Data Science, Systems and Security",Out of scope for open access requirements,Yes,52.0,,,,3523c2da-77d3-4b2d-b87f-2951b17ba9c4,0,0,1
39282,10007784,University College London,B,11,Computer Science and Informatics,,,,E,Consistent Multitask Learning with Nonlinear Output Relations.,,,Advances in Neural Information Processing Systems 30 (NIPS 2017),2017-December,,1983,,,1049-5258,,,December,2017.0,,3.0,,,,,,,,Compliant,Yes,0.0,,,,93ba65f3-21c7-484e-bc84-c324f7e35e69,0,0,1
39283,10001883,De Montfort University,B,11,Computer Science and Informatics,,,,D,Consistent Online Backup in Transactional File Systems,,,IEEE Transactions on Knowledge and Data Engineering,26,11,2676,,,1041-4347,10.1109/TKDE.2014.2302297,,,2014.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,1.0,,,,0cbb9267-52c9-48fd-bcac-af61bb6891ee,0,0,1
39341,10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,D,Constant-query testability of assignments to constraint satisfaction problems,,Society for Industrial and Applied Mechanics,SIAM Journal on Computing,48,3,1022,,,1095-7111,,,May,2019.0,http://eprints.bbk.ac.uk/id/eprint/27754/,2.0,,,,,,,3 - Knowledge Representation and Data Management,Compliant,Yes,0.0,,,,ebbe107e-92a7-459c-9d70-9b1d226bb640,0,0,1
39342,10007790,University of Edinburgh,B,11,Computer Science and Informatics,,,,D,Constant-Size Structure-Preserving Signatures: Generic Constructions and Simple Assumptions,,,Journal of Cryptology,29,4,833,,,0933-2790,10.1007/s00145-015-9211-7,,July,2015.0,,5.0,,,,,,,C - Foundations of Computation,Out of scope for open access requirements,Yes,14.0,,,,a3ef6b2f-e6a9-460c-a21b-577480b180c1,0,0,1
39403,10004797,Nottingham Trent University,B,11,Computer Science and Informatics,,,,D,Constrained interval type-2 fuzzy sets,,,IEEE Transactions on Fuzzy Systems,00,,00,,,1063-6706,10.1109/tfuzz.2020.2970911,,January,2020.0,,3.0,,,,,,,A - Computing and Informatics Research Centre,Compliant,Yes,,,,,2ca948ed-1fc5-4f2d-97c3-e4f48440155f,0,0,1
39406,10007788,University of Cambridge,B,11,Computer Science and Informatics,,,,E,Constrained multi-task learning for automated essay scoring,,,"54th Annual Meeting of the Association for Computational Linguistics, ACL 2016 - Long Papers",2,,789,,,,10.18653/v1/p16-1075,,January,2016.0,,2.0,,,,,,,,,Yes,6.0,,,,a9b53d7d-f037-4c21-b338-d2272d69c1e8,0,0,1
39407,10007775,Queen Mary University of London,B,11,Computer Science and Informatics,,,,D,Constrained Optimization for Plane-Based Stereo,,,IEEE Transactions on Image Processing,27,8,3870,,,1057-7149,10.1109/TIP.2018.2823543,,August,2018.0,,2.0,,,,,,,,Compliant,Yes,2.0,,,,9e64960e-aab1-4d56-a355-49db39fbb162,0,0,1
39414,10007804,University of Stirling,B,11,Computer Science and Informatics,,,,D,"Constrained, mixed-integer and multi-objective optimisation of building designs by NSGA-II with fitness approximation",,,Applied Soft Computing,33,,114,,,1568-4946,10.1016/j.asoc.2015.04.010,,April,2015.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,48.0,,,,96a5bc53-f93a-4be5-91f6-17bc01424d92,0,0,0
39446,10007143,University of Durham,B,11,Computer Science and Informatics,,,,D,Constraint satisfaction problems for reducts of homogeneous graphs,,,SIAM Journal on Computing,48,4,1224,,,00975397,10.1137/16M1082974,,,2019.0,https://doi.org/10.1137/16M1082974,3.0,,,,,,,B - Algorithms and Complexity,Compliant,Yes,4.0,,,,d774c95c-5683-4035-8cce-856f757bb3b7,0,0,1
39447,10004351,Middlesex University,B,11,Computer Science and Informatics,,,,E,Constraint satisfaction problems over the integers with successor,,,"Automata, Languages, and Programming: 42nd International Colloquium, ICALP 2015, Kyoto, Japan, July 6-10, 2015, Proceedings, Part I",,,256,,,0302-9743,10.1007/978-3-662-47672-7_21,,June,2015.0,http://eprints.mdx.ac.uk/16768/,2.0,,,,,,,,Out of scope for open access requirements,Yes,6.0,,,,42a52581-d8d6-436d-813d-7bdaf5599d55,0,0,1
39450,10007794,University of Glasgow,B,11,Computer Science and Informatics,,,,D,Constraints for symmetry breaking in graph representation,,,Constraints,24,1,1,,,1383-7133,10.1007/s10601-018-9294-5,,January,2019.0,http://eprints.gla.ac.uk/165865/,3.0,,,,,,,,Compliant,Yes,0.0,,,,0c777d43-29fb-47d4-9d1c-3d09babe3dc1,0,0,1
39490,10007803,University of St Andrews,B,11,Computer Science and Informatics,,,,D,Construct-A-Vis : exploring the free-form visualization processes of children,,,IEEE Transactions on Visualization and Computer Graphics,26,1,451,,,1077-2626,10.1109/TVCG.2019.2934804,,August,2019.0,,5.0,,,,,,,E - Human-Computer Interaction,Compliant,Yes,2.0,,,,6d2bc904-3984-45e7-b278-88535518a095,0,0,1
39495,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,D,Constructing a biodiversity terminological inventory,,,PLoS ONE,12,4,1,e0175277,,1932-6203,10.1371/journal.pone.0175277,,April,2017.0,,4.0,,,,,,,A - Computer Science,Compliant,Yes,6.0,,,,7d450760-5c4c-4f78-af2c-c08c0d14276e,0,0,1
39513,10007772,Edinburgh Napier University,B,11,Computer Science and Informatics,,,,D,Constructing and Evaluating Visualisation Task Classifications: Process and Considerations,,,Computer Graphics Forum,36,3,47,,,0167-7055,10.1111/cgf.13167,,July,2019.0,,1.0,,,,,,,,Compliant,Yes,9.0,,,,74c1f49b-745c-4729-a872-005ee55a18d9,0,0,1
39535,10007784,University College London,B,11,Computer Science and Informatics,,,,D,Constructing Datasets for Multi-hop Reading Comprehension Across Documents,,,Transactions of the Association for Computational Linguistics,6,,287,,,2307-387X,10.1162/tacl_a_00021,,May,2018.0,,2.0,,,,,,,,Compliant,Yes,,,,,99e85cd1-ff94-475d-bedd-637a4f3e10c9,0,0,1
39541,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,D,Constructing Fully Complete Models of Multiplicative Linear Logic,,,Logical Methods in Computer Science,11,3,1,,,1860-5974,10.2168/LMCS-11(3:6)2015,,September,2015.0,,1.0,,,,,,,A - Computer Science,Out of scope for open access requirements,Yes,0.0,,,,1867e90c-6998-47db-8afb-ffe6e7b76384,0,0,1
39553,10007786,University of Bristol,B,11,Computer Science and Informatics,,,,E,Constructing Linear-Sized Spectral Sparsification in Almost-Linear Time,,,2015 IEEE 56th Annual Symposium on Foundations of Computer Science,,,250,,,0272-5428,10.1109/FOCS.2015.24,,October,2015.0,,1.0,,,,,,,D - Fundamentals of Computing,Out of scope for open access requirements,Yes,15.0,,,,adf9bb75-d237-4e54-a277-64a7af543c0e,0,0,1
39567,10007768,The University of Lancaster,B,11,Computer Science and Informatics,,,,D,Constructing schedules for time-critical data delivery in wireless sensor networks,,,ACM Transactions on Sensor Networks,10,3,,44,,1550-4859,10.1145/2494528,,August,2014.0,,4.0,,,,,,,F - Networking,Out of scope for open access requirements,Yes,24.0,,,,4e557b2f-a791-4b25-85eb-ab676780f8c5,0,0,1
39570,10001478,"City, University of London",B,11,Computer Science and Informatics,,,,D,Constructing Spaces and Times for Tactical Analysis in Football,,,IEEE Transactions on Visualization and Computer Graphics,27,4,2280,,,1077-2626,10.1109/tvcg.2019.2952129,,November,2019.0,,8.0,,,,,,,,Compliant,Yes,,,,,31803902-dde4-46ed-8d19-e3302480d011,0,0,1
39591,10007784,University College London,B,11,Computer Science and Informatics,,,,D,Construction and Evaluation of an Ultra Low Latency Frameless Renderer for VR,,,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,22,4,1377,4,,1077-2626,10.1109/TVCG.2016.2518079,,January,2016.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,10.0,,,,4fb4047b-c461-41eb-9e84-c33d0b95b74f,0,0,1
39623,10007154,"University of Nottingham, The",B,11,Computer Science and Informatics,,,,E,Constructions with Non-Recursive Higher Inductive Types,,,LICS '16: Proceedings of the 31st Annual ACM/IEEE Symposium on Logic in Computer Science,2016-July,,595,,,,10.1145/2933575.2933586,,July,2016.0,,0.0,,,,,,,,,Yes,3.0,,,,3611beb4-022e-461e-9de3-9fc0fb04dd37,0,0,1
39746,10007791,The University of Essex,B,11,Computer Science and Informatics,,,,D,Consumption-Aware Data Analytical Demand Response Scheme for Peak Load Reduction in Smart Grid,,,IEEE Transactions on Industrial Electronics,65,11,8993,,,0278-0046,10.1109/tie.2018.2813990,,March,2018.0,,2.0,,,,,,,A - Artificial Intelligence (AI),Deposit exception,Yes,25.0,,,,47e09363-afac-4abc-ab0f-d2041f16dd05,0,0,1
39770,10007784,University College London,B,11,Computer Science and Informatics,,,,D,Contagion in cybersecurity attacks,,,Journal of the Operational Research Society,68,7,780,,,1476-9360,10.1057/jors.2016.37,,December,2017.0,,4.0,,Yes,,,,,,Compliant,Yes,3.0,,,,f62397cc-a35a-47a9-81f1-27630a80a605,0,0,1
39886,10007786,University of Bristol,B,11,Computer Science and Informatics,,,,D,Content Analysis of 150 Years of British Periodicals,,,Proceedings of the National Academy of Sciences of the United States of America,114,4,E457,,,0027-8424,10.1073/pnas.1606380114,,January,2017.0,,5.0,,,,,,,A - Artificial Intelligence and Autonomy,Compliant,Yes,27.0,,,,7b0c13ab-82a1-4f0a-beca-00ba28f69483,0,0,1
39888,10007160,The University of Surrey,B,11,Computer Science and Informatics,,,,E,Content delivery over TLS: a cryptographic analysis of keyless SSL,,,2017 IEEE European Symposium on Security and Privacy (EuroS&P),0,0,0,,,,10.1109/EuroSP.2017.52,,,2017.0,,,,,,,,,,,Yes,1.0,,,,a52413ea-45e6-4120-acf0-0ad74e6d5f2f,0,0,1
39896,10007791,The University of Essex,B,11,Computer Science and Informatics,,,,D,Content-Aware Delivery of Scalable Video in Network Coding Enabled Named Data Networks,,,IEEE Transactions on Multimedia,20,6,1561,,,1520-9210,10.1109/TMM.2017.2767778,,October,2017.0,,3.0,,,,,,,C - Communications and Networking (Comms),Compliant,Yes,7.0,,,,e1bad2d5-e032-4bb5-b0a9-cb9c1660eb5c,0,0,1
39898,10007784,University College London,B,11,Computer Science and Informatics,,,,D,Content-Aware Surface Parameterization for Interactive Restoration of Historical Documents,,,Computer Graphics Forum (Proc. Eurographics),33,2,401,,,1467-8659,10.1111/cgf.12299,,May,2014.0,,4.0,,Yes,,,,,,Out of scope for open access requirements,Yes,10.0,,,,854f33f0-6270-4c8c-b7d8-750a9f46f85a,0,0,1
39899,10007801,University of Plymouth,B,11,Computer Science and Informatics,,,,D,Content-Based Video Quality Prediction for HEVC Encoded Videos Streamed Over Packet Networks,,,IEEE Transactions on Multimedia,17,8,1323,8,,1520-9210,10.1109/tmm.2015.2444098,,,2015.0,,4.0,,,,,,,,Out of scope for open access requirements,Yes,38.0,,,,143f9be2-31f3-4efa-a8d8-4f46ff264a99,0,0,1
39900,10007147,University of Hertfordshire,B,11,Computer Science and Informatics,,,,D,Contention & Energy-aware Task Mapping on NoC based Heterogeneous MPSoCs,,,IEEE Access,6,,75110,,,2169-3536,10.1109/ACCESS.2018.2882941,,November,2018.0,,4.0,,,,,,,,Compliant,Yes,12.0,,,,89dbfe1e-9ddd-4cc9-945d-03c9670a2b0d,0,0,1
39952,10007154,"University of Nottingham, The",B,11,Computer Science and Informatics,,,,D,"Contesting control: journeys through surrender, self-awareness and looseness of control in embodied interaction",,,Human-Computer Interaction,0,,,0,,0737-0024,10.1080/07370024.2020.1754214,,October,2020.0,,10.0,,Yes,,,,,,Compliant,Yes,0.0,,,,3e8cef67-3383-4cfe-beb5-7e9f728ba22a,0,0,1
39967,10007799,University of Newcastle upon Tyne,B,11,Computer Science and Informatics,,,,E,Contesting the City: Enacting the political through digitally supported urban walks,,,CHI '15: Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,,,2853,,,,10.1145/2702123.2702176,,April,2015.0,http://dx.doi.org/10.1145/2702123.2702176,5.0,,Yes,,,,,C - Open Lab,,Yes,29.0,,,,3ddca85c-0e0b-41bf-ab88-c788ba89925e,0,0,1
39984,10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,D,Context And User Needs In Virtual Learning In Pursuit Of Qualities of Learning,,,Journal of  Education and Information Technologies,23,4,1607,0,,1360-2357,10.1007/s10639-017-9681-3,,January,2018.0,,,,Yes,,,,,,Technical exception,Yes,2.0,,,,fec4d44c-6691-4333-989e-628ba7c9d05f,0,0,1
39993,10007791,The University of Essex,B,11,Computer Science and Informatics,,,,D,Context-aware adaptive spelling in motor imagery BCI,,,Journal of Neural Engineering,13,3,036018,036018,,1741-2552,10.1088/1741-2560/13/3/036018,,May,2016.0,,2.0,,Yes,,,,,B - Brain Computer Interfaces and Neural Engineering (BCI-NE),Deposit exception,Yes,17.0,,,,7667edbe-8ebc-4ea9-a141-5c4887595272,0,0,1
39994,10001883,De Montfort University,B,11,Computer Science and Informatics,,,,D,Context-aware GPS integrity monitoring for intelligent transport systems,,Elsevier BV,Journal of Traffic and Transportation Engineering (English Edition),3,1,1,,,2095-7564,10.1016/j.jtte.2015.09.002,,,2016.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,6.0,,,,b83598ba-141e-4795-a91e-2315229b033d,0,0,1
39995,10007791,The University of Essex,B,11,Computer Science and Informatics,,,,D,Context–aware Learning for Generative Models,,,IEEE Transactions on Neural Networks and Learning Systems,PP,,1,,,1045-9227,10.1109/tnnls.2020.3011671,,,2020.0,,3.0,,,,,,,B - Brain Computer Interfaces and Neural Engineering (BCI-NE),Compliant,Yes,,,,,2a4bcdb1-abee-4f01-8583-418751cef68d,0,0,1
39996,10005790,Sheffield Hallam University,B,11,Computer Science and Informatics,,,,D,Context-aware media recommendations for smart devices,,,Journal of Ambient Intelligence and Humanized Computing,6,1,13,1,,1868-5137,10.1007/s12652-014-0234-y,,May,2014.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,19.0,,,,0e9ad2fc-46fe-4d62-84a1-aafb8992a78b,0,0,1
39998,10007848,University of Chester,B,11,Computer Science and Informatics,,,,D,Context-Aware Mixed Reality: A Learning-based Framework for Semantic-level Interaction,,,Computer Graphics Forum,39,1,484,,,0167-7055,10.1111/cgf.13887,,November,2019.0,,3.0,,,,,,,,Compliant,Yes,0.0,,,,40dae891-39e2-43bb-9096-ed7539b818ca,0,0,1
39999,10007150,The University of Kent,B,11,Computer Science and Informatics,,,,D,Context-Aware Mouse Behavior Recognition Using Hidden Markov Models,,,IEEE Transactions on Image Processing,28,3,1133,,,1057-7149,10.1109/TIP.2018.2875335,,October,2018.0,https://kar.kent.ac.uk/69761/,8.0,,Yes,,,,,,Compliant,Yes,9.0,,,,dc7446f7-a0c1-4172-a5d9-824e57cff322,0,0,1
40000,10007796,The University of Leicester,B,11,Computer Science and Informatics,,,,D,Context-Aware Mouse Behavior Recognition Using Hidden Markov Models,,,IEEE Transactions on Image Processing,28,3,1133,,,1057-7149,10.1109/TIP.2018.2875335,,October,2018.0,,8.0,,,,,,,,Compliant,Yes,9.0,,https://doi.org/10.1109/TIP.2018.2875335,,0f362117-5bd9-4470-9f6a-e80943399c46,0,0,1
40003,10001883,De Montfort University,B,11,Computer Science and Informatics,,,,D,Context-aware system for pre-triggering irreversible vehicle safety actuators,,Elsevier BV,Accident Analysis & Prevention,103,,72,,,0001-4575,10.1016/j.aap.2017.02.015,,,2017.0,,3.0,,,,,,,,Compliant,Yes,12.0,,,,0979a12b-f03f-4d58-9214-22e62245a9ff,0,0,1
40008,10007164,"University of the West of England, Bristol",B,11,Computer Science and Informatics,,,,D,Context-dependent combination of sensor information in Dempster–Shafer theory for BDI,,,Knowledge and Information Systems,51,1,259,,,0219-1377,10.1007/s10115-016-0978-0,,August,2016.0,http://dx.doi.org/10.1007/s10115-016-0978-0,3.0,,,,,,,,Compliant,Yes,8.0,,,,00bfcb7f-cfba-4c19-b29b-cb13422cab55,0,0,1
40012,10003270,"Imperial College of Science, Technology and Medicine",B,11,Computer Science and Informatics,,,,D,Context-sensitive dynamic ordinal regression for intensity estimation of facial action units,,,IEEE transactions on Pattern Analysis and Machine Intelligence,37,5,944,,,2160-9292,10.1109/TPAMI.2014.2356192,,September,2014.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,65.0,,10.1109/TPAMI.2014.2356192,,42494a05-4ce7-4f8d-ab0a-a3e73b8b9148,0,0,1
40021,10007794,University of Glasgow,B,11,Computer Science and Informatics,,,,E,Contextual Attention Recurrent Architecture for Context-aware Venue Recommendation,,,41st International ACM SIGIR Conference on Research and Development in Information Retrieval,,,555,,,,10.1145/3209978.3210042,,June,2018.0,http://eprints.gla.ac.uk/160908/,2.0,,,,,,,,,Yes,21.0,,,,cf74180d-fa88-47e2-830a-5e5843d53871,0,0,1
40032,10007786,University of Bristol,B,11,Computer Science and Informatics,,,,E,Contextual influences on the use and non-use of digital technology while exercising at the gym,,,CHI 2015 - Proceedings of the 33rd Annual CHI Conference on Human Factors in Computing Systems: Crossings,,,2923,,,,10.1145/2702123.2702384,,April,2015.0,,1.0,,,,,,,E - Bristol Interaction Group,,Yes,19.0,,,,82a5f458-f2f2-454d-9065-75180eb504ef,0,0,1
40037,10006840,The University of Birmingham,B,11,Computer Science and Informatics,,,,E,Contextual isomorphisms,,,POPL 2017 : Proceedings of the 44th ACM SIGPLAN Symposium on Principles of Programming Languages,,,400,,,,10.1145/3009837.3009898,,January,2017.0,,0.0,,,,,,,,,Yes,2.0,,,,a7de59c1-9a4f-4950-8af9-53d1fad4e5dd,0,0,1
40043,10007759,Aston University,B,11,Computer Science and Informatics,,,,D,Contextual semantics for sentiment analysis of Twitter,,,Information Processing and Management,52,1,5,,,0306-4573,10.1016/j.ipm.2015.01.005,,March,2015.0,,3.0,,,,,,,A - Aston Institute of Urban Technology and the Environment (ASTUTE),Out of scope for open access requirements,Yes,162.0,,,,e02556a8-964e-47c4-88a8-2a60a9a926f1,0,0,1
